boro,borough,boardNumber,agencyAcronym,responseId,communityBoardID,isDeleted,policyArea,needGroup,agency,type,need,request,budgetRequestTitle,continuedSupport,explanation,siteSpecific,address,siteOrFacility,siteOnStreet,siteStreetSegmentCrossStreet1,siteStreetSegmentCrossStreet2,siteStreetSegementSide,siteIntersectionStreetName,siteIntersectionStreet1,siteIntersectionStreet2,siteIntersectionCompassDirection,supporter1,supporter2,currentFYAgencyResponse,currentFYAgencyCategoryResponse,currentFYRanking,currentYearID
BK,Brooklyn,13,NYCTA,5855,BK13,,Transportation and Mobility,Needs for Transit Services,New York City Transit Authority (NYCTA),Expense,Transit service,Expand subway service frequency or hours of operations,Expand B Train to Stillwell Avenue,,Request the B train service to start at Stillwell Avenue terminal during the morning rush hours when pulling the trains out of the yard.,No,,,,,,,,,,,,,PLEASE CONTACT THE AGENCY DIRECTLY AND PROMPTLY FOR MORE INFORMATION.,Agency does not support and cannot accommodate.,2,8239108-5855-2027-BK13-E
BK,Brooklyn,13,DPR,5856,BK13,,"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Expense,Park maintenance and safety,Other park maintenance and safety requests,Hire more carpenters for boardwalk maintenance,,We would like to request the Parks Dept to hire additional carpenters and expand their schedule from seasonal to year-round in order to keep up with the increasing demands and backlog of complaints related to the conidtion of the planking of the Riegelmann Boardwalk.,No,,,,,,,,,,,,,We have already hired additional carpenters to accomplish repairs at the Riegelmann Coney Island and Brighton Beach Boardwalk. We do not have expense funding available to hire staff beyond those we have already hired.,This request has already been completed.,3,8239108-5856-2027-BK13-E
BK,Brooklyn,13,DOHMH,5857,BK13,,Health Care and Human Services,Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Expense,Mental health programs,Create or promote programs to de-stigmatize mental health needs and encourage treatment,Need more mental health services,,"Allocate funds for an existing social services and legal organization to set up a branch in Community Board 13 area in order to provide assistance to the vulnerable population, domestic violence victims, single mothers, and low-income residents living with serious mental health concerns.  This funding would disrupt and dismantle cycles of hospitalization, homelessness, and incarceration by providing direct legal and social work services. ",No,,,,,,,,,,,,,DOHMH would like to discuss further on your request and whether it resides with DOHMH or another sister agencies.  ,This request has already been completed.,7,8239108-5857-2027-BK13-E
BK,Brooklyn,13,BPL,5858,BK13,,"Parks, Cultural, and Other Community Facilities",Needs for Library Services,Brooklyn Public Library (BPL),Expense,"Library facilities, equipment and programs",Extend library hours or expand and enhance library programs,Expand cultural and educational programs,,Need to expand cultural and educational programs for residents to learn about other cultures in the neighborhood.,No,,,,,,,,,,,,,Brooklyn Public Library supports increased operational funding to equitably expand programming.,Agency supports but cannot accommodate.,1,8239108-5858-2027-BK13-E
BK,Brooklyn,14,DPR,5860,BK14,,"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Capital,"Park, buildings, and access improvements","Provide a new or expanded park or amenity (i.e. playground, outdoor athletic field)","Provide a new or expanded park or amenity (i.e. playground, outdoor athletic field)",Continued Support,"The Flatbush African Burial Ground will be constructed as a memorial through the Department of Parks and Recreation.  We understand that capital funding is in place. This is a continued support request assuming capital is adequate as told.  CB14 highly prioritizes funding that is adequate to fully realize a vision of this important, sacred and historic site that is informed by community engagement  with priority on the descendent community. We will also support expense funded to maintain and program if/as appropriate. ",Yes,,Flatbush African Burial Ground,Bedford Avenue ,Church Avenue,,,,,,,CM Rita Joseph,,"We have $4 million of funding in place for improvements to the Flatbush African Burial Ground and the design for the space. We hosted a community input meeting to inform the design in 2023 and Council Member Joseph hosted several subsequent public input meetings through 2024. The design has been approved by the Public Design Commission and we expect construction to begin in 2027. For more information, please visit: https://www.nycgovparks.org/planning-and-building/capital-project-tracker/project/10496",Agency supports and can accommodate.,1,8239108-5860-2027-BK14-C
BK,Brooklyn,14,DOT,5861,BK14,,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Expense,Traffic and traffic flow,Other expense budget request for DOT,Other expense budget request for DOT,,"New York City must recognize ownership of the Plaza. The clearest solution we see is for Newkirk Plaza to become a formal participant in the DOT's Pedestrian Plaza Program. The City's inability to determine jurisdiction over Newkirk Plaza has left several chronic issues unresolved, including a serious rodent infestation, sanitation maintenance concerns, disrepair of the brick plaza surface, and growing street homelessness challenges.  The New York City Police Department, the Department of Sanitation, the Department of Buildings, and the Department of Health and Mental Hygiene, have all been called upon to deal with myriad issues on the Plaza.  Many community stakeholders, including business owners, civic and community-based organizations, and local government entities, continue to struggle",No,,,,,,,,,,,,,DOT is continuing to engage the MTA on this and will share updates as we have them., Agency does not support but can address the need alternatively.,1,8239108-5861-2027-BK14-E
BK,Brooklyn,14,DEP,5862,BK14,,"Core Infrastructure, City Services, and Resiliency","Needs for Water, Sewers, and Environmental Protection",Department of Environmental Protection (DEP),Capital,Sewage and flooding,"Evaluate a public location or property for green infrastructure, e.g. rain gardens, stormwater greenstreets, green playgrounds","Evaluate a public location or property for green infrastructure, e.g. rain gardens, stormwater greenstreets, green playgrounds",,"There are several locations in the district that flood chronically in rainstorms. These locations have all been brought to DEP's attention. It is difficult to identify what and where speficially capaital projects are needed. They were apparently needed in the several locations where DEP had to make emergency repairs. We ask DEP to respond to the requests pending and ADVISE as to where upgrades and repairs are needed. During City of Yes for housing public hearing testimony, several community members and their council representatives decried flooding issues throughout the city. What does it say about DEPs capacity and coordination abilities that this was such a widespread concern and that it had to be expressed at a zoning hearing? Where is the DEP platform proactively upgrading infrastructure before we get to emergency repairs? There have been five recent emergency sewer repair jobs in the district just in the past months. These emergencies take months to fix and rely on other agencies and utilities for timely coordination. Furthermore, since they are ""emergency"" projects there is no Community Liaison assigned to keep the neighbors apprised. If this isn't indicative of the need for proactive maintenance, what is?  DEP must provide solutions because property, businesses and public areas should not have to withstand chronic flooding. What capital projects would help in these various locations: bioswales, catch basins, permeable surface additions, holding tanks?  ",No,,,,,,,,,,,,,PLEASE CONTACT THE AGENCY DIRECTLY AND PROMPTLY FOR MORE INFORMATION.,Agency does not support and cannot accommodate.,1,8239108-5862-2027-BK14-C
BK,Brooklyn,14,DHS,5863,BK14,,Health Care and Human Services,Needs for Homeless,Department for Homeless Services (DHS),Expense,Services for the homeless,Expand street outreach,Expand street outreach,,"Over the years, we have been told by the Department of Homeless Services that it takes an average of 250 encounters with unsheltered individuals to convince them to accept services. This suggests that services offered are not in line with the needs of those living unsheltered. More robust teams with specialized services including those to address addictions, and mental health issues must augment street outreach. Innovative approaches such as the SHAP program must be expanded in Brooklyn. This program recruits volunteers, many of whom are formally ""street homeless"" persons and thus, more often trusted messengers for street outreach and their success rate is outstanding. In their second year, of 454 encounters, they placed 226 individuals. The increased capacity afforded to Breaking Ground last year should be coordinated with innovative outreach strategies that are already out there!  For those on the street, mobile hygiene and health services should be expanded both for the immediate needs of unsheltered people and for the investment in building trust these services promote.",No,,,,,,,,,,,,,"DHS collaborates closely with other City Agencies, local community-based organizations (CBOs), and our non-profit contracted providers to develop innovative strategies and strengthen effective existing services. While identifying and expanding best practices is a key goal, it is equally essential to recognize the importance of building trust with unsheltered clients. Given the potential traumas they may have experienced, establishing these relationships often requires considerable time and patience.",Agency supports but cannot accommodate.,2,8239108-5863-2027-BK14-E
BK,Brooklyn,14,HPD,5864,BK14,,"Housing, Economic Development, and Land Use",Needs for Housing,Housing Preservation and Development (HPD),Capital,Affordable housing programs,Provide more housing for extremely low and low income households,More affordable housing for low and extremely low income households,,"In HPD's own Mayor's Management Report, it was stated in the capital budget section that, ""HPD must work to restore lost affordable housing capacity."" Affordable housing is dropping as a share of housing in CD 14. Low and extremely low-income housing is always the smallest percentage of new developments, and they tend to be smaller units such as studios and 1 bedroom, making low-income housing for families nearly nonexistent. There are also pressing needs for senior housing and supportive housing in the community. HPD reported a $9.25 billion 5-year capital fund but no additional capital was budgeted at the time due to headcount constraints prohibiting projects from moving forward. This must be remedied to ensure that the $250 million infrastructure funds to support housing and training technology, new supportive housing builds, capital preservation, and In Rem capital projects can be funded to meet community needs. In CB14 there are 800 housing code violations for every 1000 units. HPD must improve capacity and coordinate within and with other agencies to meet this urgent need. ",No,,,,,,,,,,,,,"HPD finances and supports different types of projects. Many projects are 100% affordable, and a portion of those units are ELI/VLI. Some projects contain a majority of ELI/VLI units. While HPD is breaking affordable housing production records, there is more work to be done. HPD will continue to maximize the use of subsidy and Low Income Housing Tax Credits (LIHTC) to projects in our development pipeline throughout the Five Boroughs, including those serving Very Low Income (VLI) and Extremely Low Income (ELI) populations. ",Agency supports and can accommodate.,1,8239108-5864-2027-BK14-C
BK,Brooklyn,14,HPD,5865,BK14,,"Housing, Economic Development, and Land Use",Needs for Housing,Housing Preservation and Development (HPD),Expense,Affordable housing programs,Provide more housing for extremely low and low income households,Provide more housing for extremely low and low income households,,"Ensuring that there is affordable housing for CD14's community members at lower strata of the AMI, for seniors and those in need of supportive housing rely on HPD fully implementing Housing Our Neighbors and all components of the Housing Blueprint plan including fighting tenant harassment. These programs seem to be falling short.  Our community is left vulnerable to HPD's inability to increase agency headcount and thus capacity. Interagency coordination should be put into place such that DOB will not issue permits in buildings with HPD violations unless needed to address those very violations. ",No,,,,,,,,,,,,,"HPD's total headcount has increased by by 3.7% from December 2020 to December 2024. While certain divisions were impacted due to staffing shortrages at the start of the pandemic, we are continuing to provide services to all New Yorkers and have worked hard to increase our headcount. We continue to protect tenants through our Code Enforcement and Housing Litigation teams; and have had record breaking years in affordable housing construction/preservation.  We would be open to further discussions and recommendations (as well specific cases) where DOB coordination can be further improved.",Agency supports but cannot accommodate.,1,8239108-5865-2027-BK14-E
BK,Brooklyn,14,DPR,5866,BK14,,"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Capital,"Park, buildings, and access improvements",Other capital budget request for DPR,Other capital budget request for DPR,,"The Lakeshore project is a multi-million-dollar green infrastructure project that would create marshland, utilize storm water for the benefit of the park and mitigate damaging flood conditions that affect homes, businesses, and other city assets such as the Parade Ground, the SRG Precinct, bus stops and more. It is a project that would increase access to the parks for mobility limited individuals. Funding this project addresses several capacity and coordination goals. Last year the agency responded that this project is funded. That is not so. This is at least a $20 million project and in FY 25, $5million was allocated to the second phase. This project must be fully funded, supported and expedited. ",No,,,,,,,,,,,Councilmember Rita Joseph,Coucilmember Shahana Hanif,"We have $20 million of funding in place for the Lakeshore Restoration Project and expect phase 1 of construction to be completed in 2028. For more information, please visit: https://www.prospectpark.org/learn-more/what-we-do/advancing-the-park/capital-projects-tracker/  We support the request for additional funding for further phases of restoration.",Agency supports and can accommodate.,2,8239108-5866-2027-BK14-C
BK,Brooklyn,14,DPR,5867,BK14,,"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Expense,Street trees and forestry services,"Forestry services, including street tree maintenance","Forestry services, including street tree maintenance",,"Flatbush and Midwood boast 11,237 street trees, including 121 different species according to DPR's census. Argyle Road is considered the ""leafiest"" in Brooklyn. A more robust pruning cycle is still necessary. Requests for emergency pruning and fallen branches are increasing in the District. Fallen limbs, branches and entire trees too often were reported for pruning but not addressed. Paying claims instead of service is poor policy. DPR needs a better funded and more robust contracting practice in addition to an increase  in the budget to bring the work in house.",No,,,,,,,,,,,,,"Funding for our block pruning program was restored to pre-COVID levels, and our 7-year pruning cycle matches industry standards. Any individual trees that need attention for public safety reasons should be reported by locating the tree on the NYC Tree Map (and clicking on the “report a problem” tab), calling 311, or using our online tree service request system. Our inspectors will visit the tree and determine the appropriate action in accordance with our Tree Risk Management Program.      We agree with the need to increase staff and capacity to address our existing backlog of tree work. NYC Parks has made strides to increase its in-house tree work capacity through the Climber & Pruner Training Program, an in-house training program that connects current entry-level Parks employees with the training to become Climber & Pruners. With this program, Parks expects to add 15-20 new Climber & Pruners to the workforce every 15 months to help mitigate recruitment and hiring challenges. ",Agency supports and can accommodate.,1,8239108-5867-2027-BK14-E
BK,Brooklyn,14,NYPD,5868,BK14,,Public Safety and Emergency Services,Needs for Public Safety,New York Police Department (NYPD),Capital,NYPD facilities and equipment,Renovate or upgrade existing precinct houses,Renovate or upgrade existing precinct houses,,"The time is now. The history of efforts to relocate this aging facility goes back three decades. In 2006, DCAS began property acquisition at 1326 Ocean Avenue and NYPD set aside $30 million for the property, and OMB stated its commitment to identify additional funding. Construction was set to begin in 2013.  It did not and the site was lost to a market rate housing development.  A $1 million scoping study to asses the feasibility of building a new precinct house on site acknowledges the locational challenges that the current site presents. OMB approved a site search to no avail. Relocating the precinct house remains a priority. NYPD must shift pressure on OMB into high gear for the sake of the MOS at the precinct level. No more shrugging as they pass the buck. Take responsibility. ",Yes,,70th Precinct,,,,,,,,,,,"Additional NYPD resources for this project are unavailable at this time due to funding constraints. However, the program will continue to operate within current funding levels.",Agency supports but cannot accommodate.,3,8239108-5868-2027-BK14-C
BK,Brooklyn,14,DOHMH,5869,BK14,,Health Care and Human Services,Needs for Health Care and Facilities,Department of Health and Mental Hygiene (DOHMH),Expense,Mental health programs,Create or promote programs to de-stigmatize mental health needs and encourage treatment,Create or promote programs to de-stigmatize mental health needs and encourage treatment,,"Nearly one in 25 New Yorkers has experienced mental illness.  About 280,000  have major disorders such as schizophrenia.  Forty percent of those in city shelters and 53% of those in city jails experience mental illness.  From March to December of 2020, more than 17,000 calls were made for mental health assistance.  This was 85 times more than the same period in 2019.  The city must continue to expand mobile crises teams, and intensive mobile teams as well as HOMESTAT outreach to unsheltered homeless individuals experiencing mental illness. A Support and Connection Center should be provided in Brooklyn. ",No,,,,,,,,,,,,,DOHMH defers to the Mayor's Office of Operations and Department of Social Services on HomeStat. We are happy to continue the dialogue on mobile crisis engagement as well as support and connections center ,This request has already been completed.,1,8239108-5869-2027-BK14-E
BK,Brooklyn,14,DPR,5870,BK14,,"Parks, Cultural, and Other Community Facilities",Needs for Parks,Department of Parks and Recreation (DPR),Capital,"Park, buildings, and access improvements","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)",,"The Hot Spot Tot Lot on Campus Road is the only DPR asset that has not had a capital upgrade in over a decade. DPR should have greater control of capital purse strings to maintain parks and playgrounds in communities according to conditions and time between upgrades rather than relying on elected officials for capital funds. Usually those making the allocations will be term limited before the ribbon cutting. Please don't reply, ""ask your elected officials."" At least provide the scope estimate and support for this request.",No,,,,,,,,,,,,,We support the request to improve Hot Spot Tot Lot but do not have capital funding available. Please contact the Brooklyn Parks Commissioner's Office to discuss cost estimates for improvements to the playground.,Agency supports but cannot accommodate.,3,8239108-5870-2027-BK14-C
BK,Brooklyn,14,DSNY,5871,BK14,,"Core Infrastructure, City Services, and Resiliency",Needs for Sanitation Services,Department of Sanitation (DSNY),Expense,Cleaning,Other cleaning requests,Other cleaning requests,,"Please restore MLP in the baseline budget. There are 5 overlapping council members in CD14. Those overlaps vary in size and the council members vary in their willingness to give council member allocations back to city agencies, and that's understandable. These funds are supposed to supplement, not supplant agency responsibility. There are 1200 road segments in CD 14. Given the number of dead ends, overpasses, and road bridges, cleaning is a persistent need. The evisceration of MLP was ill advised. Asking council members to refund DSNY with Clean NYC or reso funds does not ensure equal distribution of services across the district and is financially inefficient. Baseline services should come from the baseline budget. Restore full funding for MLP so the district can be cleaned efficiently and equitably. ",No,,,,,,,,,,,,,DSNY is not currently funded for additional MLP trucks.,Agency supports but cannot accommodate.,1,8239108-5871-2027-BK14-E
BK,Brooklyn,14,DOT,5872,BK14,,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,"Roadway maintenance (resurfacing, trench restoration, etc.)","Roadway maintenance (resurfacing, trench restoration, etc.)",,"Six years ago, DOT identified $60 million for trench repair but none of it was allocated to CD14, despite worsening conditions. We have been told that this funding was never applied to a repair and there is no funding for trench restoration. There must be an increase in the budget for road and street infrastructure repair. Seven locations have been submitted to DOT. 564 East 29th Street; 1781 Ocean Avenue/SE corner of Avenue M; 715 Ocean Parkway Service Road; Waldorf Court between East 17 and Dead End; Hillel Place and Kenilworth Place intersection; 464-476 East 16th Street; and East 16th Street between Avenue H and the dead end.  DOT addresses these complaints by filling in the depressions with asphalt. Bus pads at the East 18th and Church Avenue station are in disrepair. Delineators are constantly strewn in streets, intersections and sidewalks. The constant need for repair should raise questions about efficiency. Can't DOT do better? ",No,,,,,,,,,,,,,"Funding is not available. for this.  Additionally, DOT is not planning on funding new projects solely based on trench restorations. We will be working on initiating state of good repair street reconstruction projects that include trench restorations.",Agency does not support and cannot accommodate.,2,8239108-5872-2027-BK14-C
BK,Brooklyn,14,DHS,5873,BK14,,Health Care and Human Services,Needs for Homeless,Department for Homeless Services (DHS),Expense,Services for the homeless,Improve safety at homeless shelters,Improve safety at homeless shelters,,"The men's shelter that opened in CD14 in 2023 has created a number of community concerns. Security, including perimeter patrols are not addressing the complaint that individuals are entering private property, defecating in the street, engaging in substance use. Interactions between shelter residents and residents of the adjacent supportive housing facility have not been positive for the clients or the community. The Community Advisory Board has not reassured residents. The impacts of this shelter are far worse than anticipated and funding to ensure adequate support, programing and safety is urgently needed. There is now another men's shelter in the district and the contract is held by a Staten Island organization with no track record running such a shelter. There was only a four day notification and no word on when the shelter will be at full census. There is reasonable concern that the clients within are not being well-served. There is very little reason to be confident that the city is awarding performance and merit-based contracts. Homelessness has been a crises for a long time. The shelter system seems to be in a crises of its own. The women's shelter in the district has not held a CAB meeting in over a year. This is supposed to be a contracted obligation. ",No,,,,,,,,,,,,,This request requires further investigation. Contact the agency Office of Intergovernmental Affairs to provide specific details so that we can look into these matters. We are happy to help facilitate reestablishing a CAB. ,Agency supports and can accommodate.,1,8239108-5873-2027-BK14-E
BK,Brooklyn,14,DOT,5874,BK14,,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Rehabilitate bridges,Rehabilitate bridges,,"The Beverley Road bridge and the Caton Road bridge both require rehabilitation. The Newkirk Avenue Road bridge is also in need of repair but due to purview complications related to Newkrik Plaza, DOT cannot add the bridge to a component contract, which will delay repairs.  ",No,,,,,,,,,,,,,These are multiple items in one request so it was difficult to select the correct response category.   Preliminary design on the Beverley Road Bridge is concluding. Final design work is scheduled to begin in 2026  Caton is not in the current 4 Year capital program.    The city continues to investigate Newkirk and Foster for a future capital program.,Agency does not support and cannot accommodate.,1,8239108-5874-2027-BK14-C
BK,Brooklyn,14,DEP,5875,BK14,,"Core Infrastructure, City Services, and Resiliency","Needs for Water, Sewers, and Environmental Protection",Department of Environmental Protection (DEP),Expense,Sewage and flooding,Clean catch basins,Clean catch basins,,"There are several locations in the district that flood chronically that have all been brought to DEP's attention. It seems that the issues can only be resolved with capital investments and that is the second highest request on CB14 capital list. In the meantime, catch basin cleaning and maintenance, courtesy flushes, rain barrels, backflow valve education, and other short term mitigation strategies are needed.  ",No,,,,,,,,,,,,,PLEASE CONTACT THE AGENCY DIRECTLY AND PROMPTLY FOR MORE INFORMATION.,Agency does not support and cannot accommodate.,1,8239108-5875-2027-BK14-E
BK,Brooklyn,14,SCA,5876,BK14,,"Youth, Education, and Child Welfare",Needs for Youth Education,School Construction Authority,Capital,Schools and educational facilities,Provide a new or expand an existing elementary school,Provide a new or expand an existing elementary school,,"DOE still acknowledges CD 14 as a district in need of seats.  When last measured at full capacity, PS 139 was at 121% of utilization; PS 127was 125%; PS 249 was at 128%, PS 193 at 111%; PS 315 was at 118% and the PS 152 Annex was at 146%.  Since annexes are built to address overcrowding, an overcrowded annex boldly underscores the need for additional elementary school seats in the northern end of the District. The elementary schools listed above are all north of Avenue L. DOE and SCA need to provide a new needs assessment based on population changes and class size mandates.  SCA no longer has the capacity to show up to CB Committee meetings to engage with community members and provide updates on ongoing capital projects or discuss building needs. Therefore it is difficult to provide specifics here. ",No,,,,,,,,,,,,,More information is needed from the community board before making a funding decision. The community board should contact the agency. ,Agency supports but cannot accommodate.,1,8239108-5876-2027-BK14-C
BK,Brooklyn,14,NYCTA,5878,BK14,,Transportation and Mobility,Needs for Transit Services,New York City Transit Authority (NYCTA),Capital,Transit Infrastructure,Repair or upgrade subway stations or other transit infrastructure,Repair or upgrade subway stations or other transit infrastructure,,"Church Avenue is the most heavily utilized station in the district and is in disrepair. A public private partnership is in place to install an elevator to make the station ADA compliant. Other upgrades and additional security cameras must accompany this project, especially given that this will be more heavily utilized by vulnerable community members. ",Yes,,Church Ave Brighton Line Station,Church Ave and E 18 St,,,,,,,,,,PLEASE CONTACT THE AGENCY DIRECTLY AND PROMPTLY FOR MORE INFORMATION.,Agency does not support and cannot accommodate.,1,8239108-5878-2027-BK14-C
BK,Brooklyn,14,OMB,5879,BK14,,"Parks, Cultural, and Other Community Facilities",Needs for Community Boards,Office of Management and Budget (OMB),Expense,Community board facilities and staff,Provide more community board staff,Provide more community board staff,,"Every year we manage hundreds of service delivery requests, a youth conference, a nonprofit roundtable. We've added a lunch and learn series, and a YLC. Increasing responsibilities have been assigned and hiring staff and specialists, such as planners, policy analysts, IT assistance,  would help to introduce more initiatives and develop longer range projects. As the most local city agency, we give voice to the individuals who make up our communities. To support serving communities equitably, it is imperative that the city fund and provide language access services at the CB level. ",No,,,,,,,,,,,,,"As of the FY 2027 Preliminary Budget, each Community Board’s budget is being maintained.",Agency does not support and cannot accommodate.,1,8239108-5879-2027-BK14-E
BK,Brooklyn,14,NYPD,5880,BK14,,Public Safety and Emergency Services,Needs for Public Safety,New York Police Department (NYPD),Capital,NYPD facilities and equipment,Renovate or upgrade existing precinct houses,Renovate or upgrade existing precinct houses,,"While NYPD continues the search for an appropriate location for a new precinct house, the current precinct house floods and leaks and does not have adequate lockers, storage, parking, nor is it handicap accessible. We have hesitated to prioritize capital dollars for a precinct house that should be replaced but as conditions worsen, there's a more urgent concern. There should not be a need for volunteer community assistance to maintain a precinct house.  Work orders should be addressed quickly but at this point, many work orders are putting band aids on hemorrhages.  NYPD should offer to buyout and help relocate Adapt Community Network in order to build on the block. In addition, the vacant lot on the block should be explored as a potential parking facility for the 70th Precinct. ",No,,,,,,,,,,,,,NYPD’s capital plan doesn’t include funding for a replacement precinct stationhouse.  New funding to cover all associated costs are needed before this project can move forward. ,Agency supports but cannot accommodate.,1,8239108-5880-2027-BK14-C
BK,Brooklyn,14,DCWP,5881,BK14,,Other Needs,Other,Department of Consumer and Worker Protection (DCWP),Expense,Consumer and worker protection,Other expense request for DCWP,Other expense budget request for DCA,,"DCWP is the licensing and main enforcement agency for the sale of tobacco and e-cigarettes. The pace of inspections is slow, and the enforcement mechanisms is inadequate. More stores sell these items without a license than with one.  Report of sales to minors and sales of flavored vapes are prevalent. A significant investment must be made in adding and training inspectors. At the state level, OCM is stepping into cannabis enforcement. The Sheriff's office has had impact on some enforcement. NYPD has been marginalized but remains involved where possible. This is an inefficient and ineffective approach. ",No,,,,,,,,,,,,,Agency supports but cannot accommodate.,This request has already been completed.,1,8239108-5881-2027-BK14-E
BK,Brooklyn,14,DOT,5882,BK14,,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Other transportation infrastructure requests,Other transportation infrastructure requests,,"Ensure that sidewalks, curbs, street and bus pads are maintained at all bus stops. The bus stop at Church Avenue and East 18th street, which is a heavily utilized  connection to the Brighton Line at the Church Avenue station is hazardous in both directions. The sidewalks require repair, the curbs are dilapidated and the streets have waving and pot holes. DOT installed an express lane on this stop and should have ensured bus pad, sidewalk and street maintenance along each stop during that project. ",No,,,,,,,,,,,,,This location was resurfaced in Summer 2025. Please let us know if there are further issues.,This request has already been completed.,3,8239108-5882-2027-BK14-C
BK,Brooklyn,14,HPD,5883,BK14,,"Housing, Economic Development, and Land Use",Needs for Housing,Housing Preservation and Development (HPD),Expense,Housing oversight and emergency housing programs,"Provide, expand, or enhance programs for housing inspections to correct code violations","Provide, expand, or enhance programs for housing inspections to correct code violations",,"CD14 has one of the highest serious housing code violations per 1000 units of housing in the city and it is getting worse. HPD must be granted enforcement authority that makes a difference. Inspector training and technology, fully implementing Housing Our Neighbors and all components of the Housing Blueprint plan and fighting tenant harassment are all programs that seem to be falling short.  Our community is left vulnerable to HPD's inability to increase agency capacity. Interagency coordination should be put into place such that DOB will not issue permits in buildings with HPD violations unless needed to address those very violations. ",No,,,,,,,,,,,,,This is a priority for the administration and HPD and we will continue to work with key stakeholders to ensure poor housing conditions in NYC are properly enforced.  The issue of DOB permits being denied based on HPD violations is already covered by legislation in some cases.,This request has already been completed.,2,8239108-5883-2027-BK14-E
BK,Brooklyn,14,BPL,5884,BK14,,"Parks, Cultural, and Other Community Facilities",Needs for Library Services,Brooklyn Public Library (BPL),Capital,"Library facilities, equipment and programs","Create a new, or renovate or upgrade an existing public library","Create a new, or renovate or upgrade an existing public library",,Ensure that all capital improvements are needed at our local libraries:  Cortelyou Branch; Flatbush Branch; Midwood Branch; and Kensington Branch are met.  ,No,,,,,,,,,,,,,Brooklyn Public Library supports this request and has identified unfunded capital improvements at these locations. ,Agency supports but cannot accommodate.,1,8239108-5884-2027-BK14-C
BK,Brooklyn,14,HRA,5885,BK14,,Health Care and Human Services,Needs for Low Income NYs,Human Resources Administration (HRA),Expense,Homelessness prevention programs,"Provide, expand, or enhance rental assistance programs/vouchers for permanent housing","Provide, expand, or enhance rental assistance programs/vouchers for permanent housing",,"Community District 14 ranks high in the percentage of severely rent burdened households, which is to say that they pay 50% or more of their monthly income on housing. Overall, 29% of households are severely rent burdened. This is down from a recent high of 35%. For low-income households, 44% are severely rent burdened. The share of units available at 30% AMI has decreased again. When we say that we need affordable housing, not just housing, this is the basis. The District ranks 3rd in Brooklyn and is in the top 10 citywide in the percent of renter households that are severely overcrowded. These are pressures that lend themselves to homelessness and continued expansion of prevention programs is warranted. Emergency rental assistance, one-shot deals, FEPS, CityFEPs, and the HOMEBASE program must be fully funded and the capacity of HRA to provide outreach and technical assistance must be increased. Greater coordination between programs such as WeCare to address housing vulnerabilities related to mental health needs and further support for those transition into permanent housing are needed as well. ",No,,,,,,,,,,,,,The administration has moved a record number of people out of shelter and has preserved affordable units for tens of thousands of New Yorkers. ,This request has already been completed.,1,8239108-5885-2027-BK14-E
