boro,boardNumber,agencyAcronym,responseId,communityBoardID,policyArea,needGroup,agency,type,need,request,budgetRequestTitle,continuedSupport,explanation,siteSpecific,siteAddress,siteSiteName,siteFacilityName,siteCrossStreet1,siteCrossStreet2,siteOnStreet,siteStreetSegmentCrossStreet1,siteStreetSegmentCrossStreet2,siteStreetSegementSide,siteIntersectionStreetName,siteIntersectionStreet1,siteIntersectionStreet2,siteIntersectionCompassDirection,currentFYRanking
Brooklyn,16,DOT,587,BK16,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or provide new street lights,Repair or provide new street lights,,The IRT subway line runs along Livonia Avenue between Junius Street and East 98th Street.  Additional lights are needed along Livonia Avenue to brighten the street and make it less conducive to criminal activities.,Yes,,Livonia Ave,,Junius St,Junius St,,,,,,,,,29
Brooklyn,17,DOT,588,BK17,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or provide new street lights,Repair or provide new street lights,,Heavily Traffic intersection with a bus stop. Block is poorly lit. ,Yes,,East 53 Street ,,Kings Highway,Kings Highway,,,,,,,,,20
Manhattan,1,DOT,589,MN1,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or provide new street lights,Repair or provide new street lights,,Replace non-historic streetlamps with Bishops Crook street lamps or best fitting contextual alternative within CB 1s historic districts.,No,,,,,,,,,,,,,,21
Manhattan,5,DOT,590,MN5,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or provide new street lights,Repair or provide new street lights,,Complete Districtwide Street Lighting Replacements in the Garment District ,Yes,,,Garment District,,,,,,,,,,,20
Manhattan,10,DOT,591,MN10,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or provide new street lights,Repair or provide new street lights,,Install lighting around A. Philip Randolph Square ,Yes,,Adam Clayton Powell Jr. Blvd,A. Philip Randolph Square,116th,116th,,,,,,,,,7
Manhattan,12,DOT,592,MN12,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or provide new street lights,Repair or provide new street lights,,Fund new lighting in Parks / along Greenway with preference for solar,No,,,,,,,,,,,,,,42
Queens,1,DOT,593,QN1,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or provide new street lights,Repair or provide new street lights,,The area of Hallet's Point is a developing area in our community.  With the addition of the NYC Ferry access to transportation has generated immense foot traffic. At a recent town-hall community members voiced a large concern regarding visibility. Installation of lighting to improve safety and improve street usage is being requested at Main Avenue between Vernon Boulevard and 8th Street; Green Park on Main Avenue-North side of Astoria Boulevard from 8-31 to 8th Street-27th Avenue North side from 8th Street; Hallet's Point Playground; Astoria Houses.,Yes,,Main Avenue between Vernon Blvd,,8th Street-27th Avenue North,8th Street-27th Avenue North,,,,,,,,,1
Queens,1,DOT,594,QN1,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or provide new street lights,Repair or provide new street lights,Continued Support,Complete 2003 Streetlight Replacement Project on Commercial Strips: Steinway Street between Astoria Blvd. & 30th Ave. & Mid-Block between Broadway & 35th Ave. and 30th Ave. between 35th & Crescent Streets to include Curbage,No,,,,,,,,,,,,,,
Queens,2,DOT,595,QN2,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or provide new street lights,Repair or provide new street lights,,Request funds to improve street lighting under LIRR overpasses as well as under the LIE and BQE overpasses within CB 2.  Additional lighting survey needed for specific locations near 61st Street.,No,,,,,,,,,,,,,,32
Queens,2,DOT,596,QN2,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or provide new street lights,Repair or provide new street lights,,Reconstruction of the 51st Street Pedestrian Bridge as outlined in Capital budget priority. Lighting is needed in the area immediately surrounding the bridge as well.,No,,,,,,,,,,,,,,43
Queens,3,DOT,597,QN3,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or provide new street lights,Repair or provide new street lights,,"Improve street lighting on 73rd Street between 37th Avenue and Broadway. For safety reasons, proper lighting is a must. ",No,,,,,,,,,,,,,,9
Queens,3,DOT,598,QN3,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or provide new street lights,Repair or provide new street lights,,Increase safety by installing street lights at Junction Boulevard and Roosevelt Ave,No,,,,,,,,,,,,,,22
Queens,4,DOT,599,QN4,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or provide new street lights,Repair or provide new street lights,,"This stretch of road along the corridor of Roosevelt Avenue doesn't see the same number of commercial establishments and pedestrian traffic as 74th to 103rd Street, and is comprised of several 2 family homes. This section of the district is in need of infrastructural improvements geared around safety. As such, we are requesting that additional lighting be implemented along this high crime section of the corridor. ",Yes,,Roosevelt Avenue,,108 Street,108 Street,,,,,,,,,21
Queens,4,DOT,600,QN4,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or provide new street lights,Repair or provide new street lights,,"In recognition of the historical significance of the Elmhurst community, we are requesting that street lights serving Broadway from 74th Street to Queens Boulevard be replaced with ""Type M Luminaire & Pole"", which were first introduced in 1908 and designed to light wide street corners. ",Yes,,Broadway,,74 Street,74 Street,,,,,,,,,30
Queens,4,DOT,601,QN4,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or provide new street lights,Repair or provide new street lights,,"We are requesting that street lights serving Corona Plaza be replaced with ""Type M Luminaire & Pole"", which were first introduced in 1908 and designed to light wide street corners, which when installed, give the communities they serve a sense of pride and character. We understand that this is not viable below Roosevelt Avenue due to height requirements, but we strongly feel that this commercial plaza should be considered for such improved lighting. ",No,,,,,,,,,,,,,,33
Queens,4,DOT,602,QN4,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or provide new street lights,Repair or provide new street lights,,"In recognition of the historical significance Corona Avenue and its historic buildings, we are requesting that street lights serving Corona Avenue from Broadway to Sautell Ave. be replaced with ""Type M Luminaire & Pole"", which were first introduced in 1908 and designed to light wide street corners which when installed, give the communities they serve a sense of pride and character.  This long corridor of mixed commercial and residential buildings sees substantial pedestrian traffic and is serviced by both the Q58 and Q29 buses which serve shoppers that visit the many businesses scattered along this stretch. ",No,,,,,,,,,,,,,,37
Queens,9,DOT,603,QN9,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or provide new street lights,Repair or provide new street lights,,Jamaica beautification project. Including new lighting on Jamaica Ave from Lefferts Boulevard to Eldert Lane.  ,Yes,,Jamaica Avenue,,Lefferts Boulevard,Lefferts Boulevard,,,,,,,,,13
Queens,12,DOT,604,QN12,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or provide new street lights,Repair or provide new street lights,,"Lights installed underneath the underpass of Sutphin Boulevard between 94th Avenue and Archer Avenue, it is extremely dark at night.",No,,,,,,,,,,,,,,6
Queens,12,DOT,605,QN12,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or provide new street lights,Repair or provide new street lights,,"Lighting to be installed underneath the Long Island Railroad tresses on Guy R. Brewer Boulevard between Liberty and Archer Avenue, a number of bus stops underneath the tresses and it is extremely dark at night.",No,,,,,,,,,,,,,,7
Queens,12,DOT,606,QN12,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or provide new street lights,Repair or provide new street lights,,Installed lighting at the corner of 153rd Street and Archer Avenue the subway entrance.,No,,,,,,,,,,,,,,8
Queens,12,DOT,607,QN12,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or provide new street lights,Repair or provide new street lights,,Provide new street lighting at Parsons Blvd. and Hillside Ave.  The lighting is very dim.  Requesting brighter lighting at Parsons Blvd. and Hillside Ave,No,,,,,,,,,,,,,,16
Queens,12,DOT,608,QN12,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or provide new street lights,Repair or provide new street lights,,new street lighting at Parsons Blvd and Archer Ave.  ,No,,,,,,,,,,,,,,17
Queens,12,DOT,609,QN12,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or provide new street lights,Repair or provide new street lights,,Install brighter lights at Hillside Ave and Sutphin Blvd.  Install additional lighting,Yes,,Hillside Ave,,Sutphin Blvd,Sutphin Blvd,,,,,,,,,20
Queens,12,DOT,610,QN12,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or provide new street lights,Repair or provide new street lights,,additional street lighting at 183rd Street and Hillside Ave. ,Yes,,183rd St,,Hillside Ave,Hillside Ave,,,,,,,,,25
Queens,12,DOT,611,QN12,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or provide new street lights,Repair or provide new street lights,,0,No,,,,,,,,,,,,,,33
Queens,12,DOT,612,QN12,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or provide new street lights,Repair or provide new street lights,Continued Support,"Reconstruct Foch Blvd. bet Mardsen Street and Merrick Blvd, repair curbs sidewalks, center isles, sewers.  Traffic light installation at 167th Street Roadways with steel reinforcements at corners and increase street lighting.  The recent reconstruction of Foch Blvd.  from Wan Wyck Blvd. was halted abruptly at Guy R. Brewer Blvd., instead of continuing on to Merrick Blvd. as the community had expected.  At Merrick Blvd. the restoration of Foch Blvd. is now being undertaken to continue repairs eastward and into SQPA Park through a Parks and Recreation project.  Project in progress",No,,,,,,,,,,,,,,
Staten Island,1,DOT,613,SI1,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or provide new street lights,Repair or provide new street lights,,"Repair or provide new street lights - Additional street lighting on Vanderbilt Avenue. Repair and provide lighting along walkway in Clove Lakes Park - Dark & unsafe after sunset.  Suggest additional agency, Parks.  ",Yes,,vanderbilt avenue,,richmond road,richmond road,,,,,,,,,39
Bronx,9,DOT,614,BX9,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,"Repair or construct sidewalks, curbs, or pedestrian ramps","Repair or construct sidewalks, curbs, or pedestrian ramps",,"Construct Sidewalks on Metcalf Avenue Between Watson and Westchester Avenues.  Construction of sidewalks on Metcalf Avenue, adjacent to the Bronx River Parkway, are needed because residents must walk in the street and it is dangerous.",Yes,,Metcalf Ave,,Watson Ave,Watson Ave,,,,,,,,,10
Brooklyn,1,DOT,615,BK1,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,"Repair or construct sidewalks, curbs, or pedestrian ramps","Repair or construct sidewalks, curbs, or pedestrian ramps",,"Replace sidewalks around Williams Plaza (aka Jonathan Williams Development/NCHA) from Division Avenue, South 9th Street, Broadway, Marcy Avenue, Roebling Street, Havemeyer Street. These sidewalks are in disrepair around the development.",Yes," Division Avenue, South 9th Street/Broadway/Marcy Avenue",, Williams Plaza (aka Jonathan Williams  Development/NYCHA),,,,,,,,,,,19
Brooklyn,6,DOT,616,BK6,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,"Repair or construct sidewalks, curbs, or pedestrian ramps","Repair or construct sidewalks, curbs, or pedestrian ramps",,"In addition to the regular cement sidewalk replacement activity, we request that the department broaden its scope to include the option of restoring by contract those sidewalks which include special treatments, notably bluestone material. Not only is bluestone a more durable material with significantly longer life expectancy, it also serves to enhance the historic integrity and value of the community. Many property owners are willing to pay the extra cost to have this option, especially given the City's ability to leverage lower cost through bulk contracting.",No,,,,,,,,,,,,,,19
Brooklyn,7,DOT,617,BK7,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,"Repair or construct sidewalks, curbs, or pedestrian ramps","Repair or construct sidewalks, curbs, or pedestrian ramps",,Replace sidewalks on Ft. Hamilton Parkway between East 5th Street and the bridge over the Prospect Expressway.  The adjacent property owner is NYC.,Yes,,Ft Hamilton Parkway,,East 5th Street,East 5th Street,,,,,,,,,31
Brooklyn,9,DOT,618,BK9,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,"Repair or construct sidewalks, curbs, or pedestrian ramps","Repair or construct sidewalks, curbs, or pedestrian ramps",,"The northeast corner of this intersection needs a curb cut to allow access to the crosswalk. With no curb cut, the corner in question is a serious tripping hazard. ",Yes,,New York Avenue,,Maple Street,Maple Street,,,,,,,,,35
Brooklyn,11,DOT,619,BK11,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,"Repair or construct sidewalks, curbs, or pedestrian ramps","Repair or construct sidewalks, curbs, or pedestrian ramps",,Fund citywide concrete curbing program for commercial and multiple dwelling properties.,No,,,,,,,,,,,,,,19
Brooklyn,17,DOT,620,BK17,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,"Repair or construct sidewalks, curbs, or pedestrian ramps","Repair or construct sidewalks, curbs, or pedestrian ramps",,Residents are forced to walk in the street when going to Ralph Ave which is unsafe especially for seniors with the increased vehicular traffic in the area.,Yes,,Avenue D,,Ralph Ave,Ralph Ave,,,,,,,,,9
Manhattan,1,DOT,621,MN1,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,"Repair or construct sidewalks, curbs, or pedestrian ramps","Repair or construct sidewalks, curbs, or pedestrian ramps",,"Continue funding projects to make intersections safe for all users using best available technology and techniques such as sidewalk ramps, smooth crosswalks, auditory signals, etc.",No,,,,,,,,,,,,,,3
Manhattan,4,DOT,622,MN4,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,"Repair or construct sidewalks, curbs, or pedestrian ramps","Repair or construct sidewalks, curbs, or pedestrian ramps",,"Fulfill the city's commitment to install ADA compliant ramps at intersections - Dyer Ave and West 34th Street - North side of West 42 Street and Dyer Avenue. In addition, install up to 30 audible pedestrian signals, especially at West 15th Street and 9th avenue.",No,,,,,,,,,,,,,,21
Manhattan,9,DOT,623,MN9,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,"Repair or construct sidewalks, curbs, or pedestrian ramps","Repair or construct sidewalks, curbs, or pedestrian ramps",,"The junction between 125th St and Amsterdam is one of/if not the busiest in the district. In addition to the commercial traffic and cars, there are five (5) MTA bus lines that converge on that corner. The pedestrian traffic includes every demographic. The curb cuts are in adequate to accommodate wheelchairs, walkers and pedestrians. More importantly during inclement weather, the rain and snow pile with inadequate drainage. This creates dangers for crossing and standing pedestrians.",No,,,,,,,,,,,,,,52
Queens,2,DOT,624,QN2,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,"Repair or construct sidewalks, curbs, or pedestrian ramps","Repair or construct sidewalks, curbs, or pedestrian ramps",,Request sidewalk installation on Hicks Drive between 63rd Street and 64th Street on south side ,Yes,,Hicks Dr,,63rd St,63rd St,,,,,,,,,40
Queens,3,DOT,625,QN3,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,"Repair or construct sidewalks, curbs, or pedestrian ramps","Repair or construct sidewalks, curbs, or pedestrian ramps",,"Request: Provide funding for curb repair.    Explanation: While the property owner is responsible for the repair of sidewalks and encouraged to replace curbs, all too often, violations go unaddressed because of financial difficulties or neglect. Unsafe conditions are left to the city to be corrected. It is therefore important that funding to hire more outside contractors to perform sidewalk and curb repairs be increase.",No,,,,,,,,,,,,,,28
Queens,5,DOT,626,QN5,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,"Repair or construct sidewalks, curbs, or pedestrian ramps","Repair or construct sidewalks, curbs, or pedestrian ramps",,"RECONSTRUCT SIDEWALKS, CURBS AND PEDESTRIAN RAMPS ALONG MYRTLE AVENUE, FROM FRESH POND ROAD TO WYCKOFF AVENUE, IN RIDGEWOOD          Sidewalks, with brick pavers, along Myrtle Avenue in Ridgewood have deteriorated causing tripping hazards. One of the main problems has been tree roots lifting the bricks and the sidewalk flags. The last major improvement was in 1984/1985. This section of Myrtle Avenue receives extensive pedestrian traffic with people from Ridgewood and nearby communities shopping on Myrtle Avenue.  Funding is needed to physically improve safety conditions along this section of Myrtle Avenue.      There may also be a need to replace the main city sewer and water main in this section of Myrtle Avenue.",Yes,,Myrtle Avenue,,Fresh Pond Road,Wyckoff Avenue,,,,,,,,,7
Queens,8,DOT,627,QN8,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,"Repair or construct sidewalks, curbs, or pedestrian ramps","Repair or construct sidewalks, curbs, or pedestrian ramps",,Stand alone funding (separate from sidewalks) is needed to address the curb repair backlog for all locations within Community Board 8. Installation of new sidewalk and curbs:  A) 170th Street (Goethals Ave and Union Turnpike)   B) 171st Street (65th Avenue and 67th Avenue)  C) Utopia Parkway (73rd Avenue to Horace Harding Expressway including center medians) D) Queens Blvd medians (84th Drive to 87th Avenue) E) Goethals Avenue (northside) from 168th Street to 170th Street.,No,,,,,,,,,,,,,,3
Queens,8,DOT,628,QN8,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,"Repair or construct sidewalks, curbs, or pedestrian ramps","Repair or construct sidewalks, curbs, or pedestrian ramps",,Install and/or repair bus pads. CB8 requested replacement of the cracked and broken bus pads since 2005.  A) 188th Street & Union Turnpike  B) 188th Street from Union Turnpike to 73rd Avenue  C) Hillside Avenue (westbound lane) from Francis Lewis Boulevard to 205th Street. Hillside Avenue is the route for about 10 bus lines. The lack of bus pads makes it necessary for numerous requests for repairs of hummocks each year. Install bus pads to prevent the street from deteriorating.,No,,,,,,,,,,,,,,4
Queens,9,DOT,629,QN9,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,"Repair or construct sidewalks, curbs, or pedestrian ramps","Repair or construct sidewalks, curbs, or pedestrian ramps",,"Funding for new contract to replace or repair damaged curbs in residential and commercial areas in Woodhaven, Ozone Park, Richmond Hill and Kew Gardens",No,,,,,,,,,,,,,,17
Queens,10,DOT,630,QN10,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,"Repair or construct sidewalks, curbs, or pedestrian ramps","Repair or construct sidewalks, curbs, or pedestrian ramps",,Continue support for sidewalk repair for entire CB10 area.,No,,,,,,,,,,,,,,5
Queens,10,DOT,631,QN10,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,"Repair or construct sidewalks, curbs, or pedestrian ramps","Repair or construct sidewalks, curbs, or pedestrian ramps",,Continued support for curb maintenance for entire CB10 area.,No,,,,,,,,,,,,,,16
Queens,11,DOT,632,QN11,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,"Repair or construct sidewalks, curbs, or pedestrian ramps","Repair or construct sidewalks, curbs, or pedestrian ramps",Continued Support,Fund curb repair / replacement contract to address substantial work needed throughout the CB 11 district. Priority locations are center island malls:   Union Turnpike Mall between Springfield Blvd. and Hollis Hills Terrace,Yes,,Union Tpke,,Hollis Hills Terrace,Hollis Hills Terrace,,,,,,,,,
Queens,12,DOT,633,QN12,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,"Repair or construct sidewalks, curbs, or pedestrian ramps","Repair or construct sidewalks, curbs, or pedestrian ramps",,"Reconstruction of street - capital project on 14 Street between 134th and 137th Avenue, missing sidewalks and curbs, flooding.  Capital project on 103rd Road between 171 and 172 Street",No,,,,,,,,,,,,,,5
Queens,12,DOT,634,QN12,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,"Repair or construct sidewalks, curbs, or pedestrian ramps","Repair or construct sidewalks, curbs, or pedestrian ramps",,"Install curbs at the following locations 117th Ave from 195th  Street to Linden Blvd., 190th Street from 118th Ave to 120th Ave.",No,,,,,,,,,,,,,,14
Queens,12,DOT,635,QN12,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,"Repair or construct sidewalks, curbs, or pedestrian ramps","Repair or construct sidewalks, curbs, or pedestrian ramps",Continued Support,This area has fallen into disrepair.  The sidewalk is necessary for those walking to Farmers Blvd. from the LIRR tunnel.  There should be spaces left for trees.,No,,,,,,,,,,,,,,
Queens,12,DOT,636,QN12,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,"Repair or construct sidewalks, curbs, or pedestrian ramps","Repair or construct sidewalks, curbs, or pedestrian ramps",Continued Support,"Reconstruct sidewalk on the corner of 192nd Street and Jamaica Ave, northwest corner new P.S. 35 elementary school.  This would provide safety for school children and deter sidewalk dumpling in the area.",No,,,,,,,,,,,,,,
Queens,12,DOT,637,QN12,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,"Repair or construct sidewalks, curbs, or pedestrian ramps","Repair or construct sidewalks, curbs, or pedestrian ramps",Continued Support,Construct curbing along 99th Ave between Farmers Blvd. and 193rd Street (north side of 99th Ave).  This area has fallen into disrepair.  The sidewalk is necessary for those wishing to walk to Farmers Blvd. from the LIRR tunnel.  There should be spaces left for trees.,No,,,,,,,,,,,,,,
Queens,13,DOT,638,QN13,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,"Repair or construct sidewalks, curbs, or pedestrian ramps","Repair or construct sidewalks, curbs, or pedestrian ramps",,The center median curb where people park is crumbling and presents a trip hazard that is dangerous for those getting into and out of their cars.,Yes,,260 Street,,74 Avenue,74 Avenue,,,,,,,,,12
Queens,13,DOT,639,QN13,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,"Repair or construct sidewalks, curbs, or pedestrian ramps","Repair or construct sidewalks, curbs, or pedestrian ramps",,The center median needs curbing to protect the garden and irrigation system local residents have worked very hard to keep clean and beautify.,Yes,,Francis Lewis Boulevard,,130 Avenue,130 Avenue,,,,,,,,,13
Staten Island,1,DOT,640,SI1,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,"Repair or construct sidewalks, curbs, or pedestrian ramps","Repair or construct sidewalks, curbs, or pedestrian ramps",,Repair or construct new curbs or pedestrian ramps - replace curbs on Colonial Court and Broadway.,Yes,,colonial court,,broadway,broadway,,,,,,,,,15
Bronx,9,DOT,641,BX9,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,"Repair or construct medians, or other street assets","Repair or construct medians, or other street assets",,We want to see every bus stop have concrete pads.,No,,,,,,,,,,,,,,8
Brooklyn,18,DOT,642,BK18,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,"Repair or construct medians, or other street assets","Repair or construct medians, or other street assets",,"For safety purposes upgrade and reconstruction of the concrete road medians along Kings Highway within the district.  Plus, beautification of said medians. ",No,,,,,,,,,,,,,,33
Queens,8,DOT,643,QN8,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,"Repair or construct medians, or other street assets","Repair or construct medians, or other street assets",,Repair and/or create new concrete medians on Utopia Parkway. The medians are broken and many are at the same level as the roadway.,Yes,,Utopia Parkway,,69th  Avenue,69th  Avenue,,,,,,,,,15
Bronx,4,DOT,644,BX4,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or build new step streets,Repair or build new step streets,,"We request upgrades of the 168 Street Step Street (Shakespeare & Edward L Grant Highway.) Including new handrails, lighting and landings.     ",No,,,,,,,,,,,,,,11
Bronx,4,DOT,645,BX4,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or build new step streets,Repair or build new step streets,,We request a rehabilitation and reconstruction  of the step street at Shakespeare and Anderson Avenue (167thStreet.)     ,No,,,,,,,,,,,,,,16
Bronx,4,DOT,646,BX4,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or build new step streets,Repair or build new step streets,,We request a rehabilitation and reconstruction  of the Carroll Place step street (165 Street to 166 Street).  We also request that CDOT and DSNY collaborate on a comprehensive maintenance and clean up program for all step streets.,No,,,,,,,,,,,,,,20
Bronx,5,DOT,647,BX5,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or build new step streets,Repair or build new step streets,,Reconstruct Step Streets from Palisades Place to Sedgwick Avenue. Step Streets are important access points. These are in extremely dangerous condition which must be addressed promptly.,Yes,,Palisades Place,,Sedgwick Avenue,Sedgwick Avenue,,,,,,,,,4
Bronx,5,DOT,648,BX5,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or build new step streets,Repair or build new step streets,,Reconstruct Step Street from Sedgwick Avenue to Cedar avenue. Step Streets are important access points. This particular step street provides access form Sedgwick Avenue to Cedar Avenue which is the gateway to Roberto Clemente State Park. This location is in extremely poor condition and must be addressed promptly.,Yes,,Sedgwick Avenue,,Cedar Avenue,Cedar Avenue,,,,,,,,,24
Bronx,5,DOT,649,BX5,Transportation and Mobility,Needs for Traffic and Transportation Infrastructure,Department of Transportation (DOT),Capital,Transportation infrastructure,Repair or build new step streets,Repair or build new step streets,,"Reconstruct Step Street from Marion Avenue to 187th Street. The Step Street has been seriously deteriorated. There is heavy pedestrian traffic e.g. students, patrons and residents. Request additional lighting.",Yes,,Marion Avenue,,187th Street,187th Street,,,,,,,,,26
